[2022-02-12 23:26:49,876] INFO [setUpClass testcase_07_selectOrder.py 14] selectOrder接口用例页开始
[2022-02-12 23:26:50,826] INFO [TestCase_Log testcase_log.py 13] 实际结果：{"account":null,"gotoPage":-2,"id":0,"list":[{"GAmount":30.0,"GId":10,"GName":"大米","GNum":10,"GPrice":3.0,"OAddr":"广州市天河区","OState":"已发货","OTime":"2016-03-20T00:00:00","account":"zhangsan","id":1}],"msg":"","pageCount":12,"pageIndex":1,"result":"ok","totalCount":3,"totalPage":1}
[2022-02-12 23:26:50,827] INFO [testselectOrder testcase_07_selectOrder.py 35] 测试结果为Fail
[2022-02-12 23:26:50,859] INFO [testselectOrder testcase_07_selectOrder.py 39] 状态码错误,测试结果为Fail
[2022-02-12 23:26:50,931] INFO [TestCase_Log testcase_log.py 9] 测试用例：selectOrder_para_opposite
[2022-02-12 23:26:50,931] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/indentSelect.action
[2022-02-12 23:26:50,931] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"gotoPage":"0"}
[2022-02-12 23:26:50,931] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"fail"}
[2022-02-12 23:26:50,931] INFO [TestCase_Log testcase_log.py 13] 实际结果：{"account":null,"gotoPage":0,"id":0,"list":[{"GAmount":23.0,"GId":8,"GName":"猪肉","GNum":1,"GPrice":23.0,"OAddr":"深圳市宝安区中南花园","OState":"已付款","OTime":"2022-02-10T00:00:00","account":"admin","id":46},{"GAmount":12.0,"GId":10,"GName":"大米","GNum":4,"GPrice":3.0,"OAddr":"深圳市南山区麒麟花园","OState":"订单已完成","OTime":"2016-03-22T00:00:00","account":"admin","id":2},{"GAmount":30.0,"GId":10,"GName":"大米","GNum":10,"GPrice":3.0,"OAddr":"广州市天河区","OState":"已发货","OTime":"2016-03-20T00:00:00","account":"zhangsan","id":1}],"msg":"","pageCount":12,"pageIndex":1,"result":"ok","totalCount":3,"totalPage":1}
[2022-02-12 23:26:50,932] INFO [testselectOrder testcase_07_selectOrder.py 35] 测试结果为Fail
[2022-02-12 23:26:50,958] INFO [testselectOrder testcase_07_selectOrder.py 39] 状态码错误,测试结果为Fail
[2022-02-12 23:26:51,027] INFO [TestCase_Log testcase_log.py 9] 测试用例：selectOrder_business_logic
[2022-02-12 23:26:51,027] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/indentSelect.action
[2022-02-12 23:26:51,028] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"id":"1","gotoPage":"0","gotoPage":"-1"}
[2022-02-12 23:26:51,028] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"fail"}
[2022-02-12 23:26:51,028] INFO [TestCase_Log testcase_log.py 13] 实际结果：{"account":null,"gotoPage":-1,"id":0,"list":[{"GAmount":30.0,"GId":10,"GName":"大米","GNum":10,"GPrice":3.0,"OAddr":"广州市天河区","OState":"已发货","OTime":"2016-03-20T00:00:00","account":"zhangsan","id":1}],"msg":"","pageCount":12,"pageIndex":1,"result":"ok","totalCount":3,"totalPage":1}
[2022-02-12 23:26:51,029] INFO [testselectOrder testcase_07_selectOrder.py 35] 测试结果为Fail
[2022-02-12 23:26:51,061] INFO [testselectOrder testcase_07_selectOrder.py 39] 状态码错误,测试结果为Fail
[2022-02-12 23:26:51,100] INFO [tearDownClass testcase_07_selectOrder.py 18] selectOrder接口用例页结束
